donor,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242012.74,900727.46,104540.48,75432.31,191807.98,402576.25,106130.4,181188.84,125475.86,535590.94,1028677.68,302665.16,460414.28,452372.87,214041.9,545941.78,414682.04,1855417.67,4571828.89,2681357.65,937019.44,2642898.67,5439720.97,3393317.08,4445501.8,6888416.73,2626504.53,9768071.52,,,
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700882.74,3327045.47,,,
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6016534.43,,,,,,,,,,,,158929748.6,183546108.59,202469326.92,211557625.96,281919922.45,236898004.8,267106184.19,268058801.44,265303490.72,,
MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2342546.88,2771133.99,4737131.98,,,
Multilateral Fund for the Implementation of the Montreal Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8693898.59,39000475.74,84176805.07,194333738.81,4927848.01,139631866.17,,13968478.76,120036157.17,8904377.01,,,46536837.34,6803326.52,1659249.38,,,1000000,,
NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,830920550.74,1300615163.53,1122865618.95,1765624214.98,1819278796.63,1839758443.91,1519274328.53,1915768579.18,1471423650.2,1305256382.96,1777898155.03,2114005260.31,1363013300.3,2052676485.55,2671620531.79,2438012122.59,2577858516.18,1927041745.75,1795577470.79,2445190767.61,2888270468.33,2121325703.67,2958849527.82,3149980399.04,3216405766.94,3284511510.22,3078969060.47,4803447988.55,4441228129.76,7384026425.04,3364360962.27,3482663385.52,4209493515.47,12314020617.15,4989777801.72,5424406308.83,5291752130,,
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,7919411.4,,9709768.03,,,,,62551256.91,84946938.13,72724577.6,1811274.94,40953725.34,,,,,,,,,,101807871.72,,,,,,,124653729.17,149912989.53,188007937.34,305305028.05,305682531.76,250267558.45,323877132.43,265857349.93,,
(NTF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8494255.2,95712936.91,89599482.4,44921665.14,5957109.07,3398910.71,21232162.31,31668951.89,47059094.67,13811228.38,41699635.16,49683785.52,13527258.03,15644991.54,45503892.91,50545506,37128738.12,15755733.33,24741242.85,,11188497.29,,,,20119400.01,968914.54,19715880.2,42569776.6,16712940.1,5186021.58,,,,8935833.05,45065048.71,
(NDF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23465176.73,15950905.79,23833726.96,49197538.51,54598729.53,39695129.64,40247627.34,55306971.45,56500085.62,62656767.94,113466793.91,122623264.99,99201786.97,109509498.66,146301591.69,89910562.65,18049656.45,,,,,
(NADB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30231715.97,57228933.02,64023614.28,165944478.62,199528815.42,83656010.73,172367975.57,166596574.37,68696114.49,6775901.18,73286348.26,78489172.02,80996558.03,267768700,249286144.84,147187083.74
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,309319597.21,399935265.43,451536500.11,300167099.65,291132204.49,473886143.29,531006810.6,443979703.12,396375784.15,536611961.99,81766086.54,945296746.55,922957672.38,1301050285.08,953571294,511145789.32,755818144.9,917420328.04,1081513615.3,769521980.86,1126592207.47,1480019587.82,1641904491.99,1531849557.89,1291735050.83,1431847645.4,2382976565.98,1555921758.84,2108154401.16,1988439632.77,2168914062.19,1851085282.37,2343824765.35,2930345975.77,2912773938.69,3221626011.66,3992735710.49,,
(OFID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156492577.79,1273923133.58,645331932.71,627193492.54,710807654.41,1122666364.37,1087733209.67,640796538.62,386246567.31,316142735.96,187288508.3,274117756.19,161130956.31,226419989.79,256927766.37,267156200.15,175343235.58,210241957.97,164953081.14,243877687.82,209458179.5,310200568.66,246831356.85,318925513.34,318794171.85,,519515157.13,389191421.63,574216727.35,441432626.84,681454505.99,740157249.51,617207981.99,1038885000,14859063.27,
POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74195.64,859090.56,260623.5,12804610.89,15747038.27,12435483.15,7322622.06,
PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42003254.52,769289301.59,121834421.86,,421160303.58,82196889.18,290319130.35,27554259.9,28841276.04,335752460.81,325213772.27,403866931.35,263436624.5,216858478.45,336443761.99,84933290.66,632027322.42,896820706.9,397609476.21,320149042.8,262860943.96,1279393198.5,328579049.11,220406186.94,318914195.32,244809667.16,351190760.36,,
QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84843026.43,,,,
SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521621451.35,839335158.33,3129404300.05,2198553900.19,925762194.92,612763507.54,640993573.36,1154468404.18,672215560.7,628208480.21,669354710.95,664182756.13,368342912.4,146013464.96,449906410.31,372323371.02,42827833.64,184787945.38,295621082.76,610935095.86,193863114.3,93061794.28,30141275.53,111568038.98,126821339,79623535.52,442102272.42,511692214.92,319810485.73,246288494.77,231126808.86,475100427.61,287415953.79,244274007.18,529200000,5787070,
SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3334223.34,5536736.25,7843018.67,58741.99,,,,
ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9495867.68,58394861.85,52003643.87,60132700.75,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282308353.6,1218735993.39,946888529.23,1770579885.93,1355835588.26,792717480.28,488384010.9,528616366.68,624619177.44,1340214736.01,1917197349.21,1977827506.12,2032982909.47,2526387049.52,2154244832.84,2220596879.69,1889993221.91,2392577577.56,3171855492.01,3959321027.82,4745281664.02,4411678462.03,,
SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,729033591.81,1262126033.17,1030617823.38,794450105.9,1068923667.98,1036274385.29,1170820118.91,731638354.08,1156020555.19,1239427004.97,1210372844.53,1231868983.93,1153899132.76,1288804776.95,1750802839.26,2606049360.97,4796760303.3,2770269683.64,1879078620.06,2255531344.87,1378205760.56,1570578458.17,1367099141.78,1135321874.01,1374744765.33,1412062146.8,1379124837.77,1479516124.39,1548996687.99,1636816617.08,2446651925.95,2267033863.59,2900187390.1,3197571359.48,2165955600.96,2372379374.76,3285191865.57,,
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,117463585.28,275872689.84,284822389.18,344318438.54,473467359.68,421395861.33,424466526.57,220970884.64,678990371.99,438225054.51,674581978.47,394496796.78,826560975.81,540767981.75,670126977.62,664862969.49,757919896.17,865272974.12,1104272384.45,862089060.69,629923074.41,1340931785.88,939360419.08,727158676.22,796596879.97,765595088.09,1452954865.31,1304251475.63,1300026060.58,1303100628.34,1268679980.85,1598523212.64,1738647697.59,1514364022.66,1732849279.18,1714165215.99,1726592656.15,,
TWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14227183.38,58361329.68,21500361.61,50164621.48,58063115.31,13288252.22,44082584.75,71200793.96,43988084.23,48240176.92,17614225.69,20265757.32,11223931.42,5439420.41,26863382.62,10114108.97,4788113.57,,9738423.96,,,
THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11894327.12,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,496030018.59,197699073.06,1079195373.73,1011823685.22,1009203560.53,197142508.9,842914128.74,218886920.24,345563258.32,68414462.2,123595713.08,114327597.34,95595684.84,362125564.55,100283794.55,,,,,258827110.97,,,,,13832559.73,667084286.78,244719522.83,799318740.97,,,,,,496435800.53,269798239.68,1340998440.04,329592116.08,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,2478983806.11,3074167393.23,674603981.55,1659496370.39,1941286624.18,6462961198.1,1912815899.6,2039829149.74,954521911.34,1735358830.06,1590861242.39,1807241126.68,1045751820.13,1522015945.58,3286342129.87,2105624674.15,1915577224,1564740217.14,1663344702.69,3684950914.07,1453081995.19,1584192820.81,2354773819.98,3024855258.19,2752528059.77,5250784887.05,4006328858.35,6873737943.86,3934686266.7,4623508218.68,5178612016.55,5085342880.8,9466581723.46,9578200923.55,4658037711.58,6784466875.5,11161253508.07,,
(UNICEF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497036320.95,571492796.58,823350841.91,808899513.31,772099637.37,837151894.34,817287595.17,1006900434.28,960282535.24,1103506690,,
(UNDEF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36005992.38,23045063.75,19030367,,
(UNDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685420651.85,,,,,453599544.83,490583723.09,507510825.96,470411904.48,490600694.32,642592550,,
(UNESCAP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94002.95,,,,
