donor,recipient,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89981.84,,,,,,,,,,,,,260069.43,567881.83,96260.23,85861.06,44221.49,714648.97,632288.91,668405.72,389857.71,444110.9,371936.72,56772.45,,
AUS,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193633.32,876423.14,883385.01,,868307.39,,,71311.42,,,,,,,,,8981.33,,,,,,,,,,,
AUS,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6846995.6,,,,,,,,,,,,,,,2679323.24,,44497.72,2742.87,22237.41,,508293,5628.1,15258.86,74876.05,1817244.05,500500.48,3919781.36,8281250,,
AUS,COG,,,,,,,,,,,,,,,,,,,,,,,,,,,73651.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160223.88,1101521.72,251064.22,1555667.42,1185997.46,1096301.71,40230.32,634709.78,1668263.36,52461.56,258191.27,1865413.71,355941.46,970879.97,2266952.36,1158867.98,1209613.35,686780.2,,3112674.65,2096529.34,7150113.67,4451081.67,1557210.8,3636067.8,878381.13,2212053.23,1534468.87,2275501.43,1499288.83,2667725.26,8489758.63,4347879.88,,
AUS,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511378.57,,,,,,,,,,,,,,,,58246.16,,,,45631.7,,,,,,,,,,,
AUS,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15447.88,,,,,,26422.27,,,,,
AUS,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029.54,82062.95,197705.65,200152.02,34332.43,913.12,,10901.43,14111.21,15625,,
AUS,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45921.28,45884.85,,,,,,,,,,,,
AUS,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3561043.84,2005388.83,2169055.3,2849176.36,,2377345.86,,,,,,,
AUS,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4783.11,,,,,,,,,
AUS,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13965.81,,,120625.27,,,2861.04,,17274.96,,,,,
AUS,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916974.79,,,,,,,,,,,,,,,,,,11538.07,,,,19175.57,,26923.67,,,,
AUS,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5689087.17,,7353926.55,14932098.9,8122665.78,11966258.43,14855535.1,15391901.35,22762315.54,13533528.21,15489474.21,16577853.62,12840712.34,15008693.27,15849469.05,13797184.28,11478635.7,,,,,,22129553.41,14688563.27,7326535.44,15817515.44,14208607.48,10175089.62,3702519.23,3366485.47,3813199.84,8264558.77,12393633.66,6888616.01,117187.5,,
AUS,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6466.56,13635.9,,,,,28253.29,30768.72,,,,
AUS,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106771.72,3288550.68,8147065,4978881.54,804589.11,172778.82,,1089368.78,6293.49,1186222.69,2870654.44,55313.35,10044.35,,54712.46,,,,
AUS,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725709.9,,2711052.88,332994.77,6343469.22,2436799.73,10335229.95,11771941.72,6516661.98,10266777.88,10824170.05,21308959.29,18774469.99,21990071.96,,,,9877256.55,652795.8,641535.82,1134943.64,11989706.63,20621469.59,5064313.75,1785398.71,823864.8,3144343.49,4097063.4,2686113,3705648.15,1954087.45,762457.34,1760278.57,2334025.46,7839562.72,2464492.19,,
AUS,"Europe, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15653392.33,13933510.06,,,,17805165.53,,180798.27,856910.1,132898.91,798067.48,20312.5,,
AUS,"Far East Asia, regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6648717.95,17260795.41,4560177.35,21017538.04,20571997.01,17089562.26,6355731.62,,31718052.21,4591369.18,16117925.41,28758293.7,35570315.29,35777047.69,14477141.17,15948367.3,23320237.21,46536477.89,48942905.23,70743179.75,32341414.74,,
AUS,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,7610629.39,19557397.5,7252500.43,3430154.86,25949055.42,44893489.78,16056294.97,6583326.15,23671041.94,8056288.89,18061402.55,9154978.06,12233931.17,32868014.82,33516356.04,27007254.25,728001.03,8697201.39,15443300.18,22170188.94,18024218.29,12881670.88,9200022.41,28570905.17,27115802.48,38355025.82,13391826.72,9120924.83,30406805.98,24544303.02,59043464.3,10975887.02,17044345.82,15662135.65,15701083.97,27709671.5,30345285.05,,
AUS,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205174.64,,,,,,,,,,269347.1,,,931938.52,862059.76,38001.15,1353830.29,,,,,,,,,,,,
AUS,GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104447.33,,42393.84,117522.87,32617.85,,,,,12586.98,,,,,35172.99,,,,,
AUS,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,12275.21,,,,9194160.79,1490294.1,2741030.5,565207.89,357021.91,,,2841984.08,,,,,,1199921.13,,,,291911.86,230297.34,244633.86,,110136.45,659112.05,460505.83,4187.27,,44487.38,407220.76,365249.03,328085.42,245397.53,243026.44,195312.5,,
AUS,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861.04,,16145.98,,,,,
AUS,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29458.75,31467.46,,,1907.36,,82896.73,97885.61,,,,
